Date,series,OPEN,HIGH,LOW,PREV_CLOSE,LTP,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
21-Aug-20,EQ,715,715,702.7,710.1,705.6,705.9,707.21,"1,170.00",375.25,4164686,"2,94,52,97,038.05",64644
24-Aug-20,EQ,706.05,708.45,695.6,705.9,707.9,705.7,702.77,"1,170.00",375.25,4066936,"2,85,81,38,431.70",62460
25-Aug-20,EQ,705,711.55,694.7,705.7,701,701.6,700.41,"1,170.00",375.25,3982510,"2,78,93,72,797.80",61808
26-Aug-20,EQ,704.7,717.75,697,701.6,713.5,712.8,709.35,"1,170.00",375.25,4511551,"3,20,02,52,379.20",76393
27-Aug-20,EQ,713.55,720,706.5,712.8,711.9,710.15,711.92,"1,170.00",375.25,3917059,"2,78,86,14,388.35",62402
28-Aug-20,EQ,713.7,716.65,703.2,710.15,705.55,706.45,709.69,"1,170.00",375.25,5416682,"3,84,41,92,015.25",115684
31-Aug-20,EQ,705,725,686,706.45,688.65,694.4,704.98,"1,170.00",375.25,7787176,"5,48,97,94,792.90",140233
01-Sep-20,EQ,695,704,682.4,694.4,692.25,689.6,695.04,"1,170.00",375.25,6377322,"4,43,25,14,477.35",70102
02-Sep-20,EQ,689.9,704.8,689.1,689.6,702.7,701.95,698.09,"1,170.00",375.25,4090511,"2,85,55,45,336.95",69906
03-Sep-20,EQ,704.8,716.4,697.6,701.95,707.8,706.75,708.45,"1,170.00",375.25,5468161,"3,87,39,14,728.00",100811
04-Sep-20,EQ,695.15,704.5,692.05,706.75,702,700.8,698.83,"1,170.00",375.25,3354844,"2,34,44,80,521.35",49600
07-Sep-20,EQ,696.35,712.4,689.05,700.8,707.05,708.8,702.03,"1,170.00",375.25,4238823,"2,97,58,01,272.85",89393
08-Sep-20,EQ,708.8,738.9,703.2,708.8,721.85,725.9,727.72,"1,170.00",375.25,11522742,"8,38,53,41,841.85",186330
09-Sep-20,EQ,712.1,730.9,710.2,725.9,722.6,721.95,721.31,"1,170.00",375.25,5514179,"3,97,74,32,747.85",101369
10-Sep-20,EQ,728.65,728.95,713.8,721.95,720.7,722.4,720.77,"1,170.00",375.25,3366359,"2,42,63,71,004.05",67465
11-Sep-20,EQ,712,734,710.15,722.4,720.05,721.65,723.23,"1,170.00",375.25,7221687,"5,22,29,54,988.80",120764
14-Sep-20,EQ,745,825.1,744.15,721.65,793,794.95,783.61,"1,170.00",375.25,32312531,"25,32,03,77,282.45",415569
15-Sep-20,EQ,791.05,809.85,783.05,794.95,791.8,792.7,795.47,"1,170.00",375.25,14024787,"11,15,63,11,755.85",192773
16-Sep-20,EQ,790.05,796.3,779.25,792.7,788.45,789.25,788.92,"1,170.00",375.25,7471542,"5,89,44,65,481.45",168914
